iteration,total_unmet,total_demand,pct_unmet
122,269,3467,7.758869339486588
123,251,3205,7.831513260530422
124,1271,4596,27.654482158398608
125,518,4128,12.5484496124031
126,374,4137,9.040367416001933
127,330,3586,9.202453987730062
128,105,3329,3.1541003304295585
129,703,4159,16.90310170714114
130,268,3503,7.65058521267485
131,37,2838,1.3037350246652573
132,160,3214,4.978220286247667
133,70,3410,2.0527859237536656
134,94,3349,2.806808002388773
135,149,4056,3.673570019723866
136,405,3731,10.85499865987671
137,81,2881,2.8115237764665046
138,302,3363,8.980077311923877
139,236,2770,8.51985559566787
140,95,3997,2.3767825869402053
141,57,3211,1.7751479289940828
142,326,3186,10.232266164469554
143,32,3006,1.0645375914836992
144,106,3160,3.354430379746835
145,175,3577,4.892367906066536
146,228,3562,6.400898371701292
147,356,3952,9.008097165991904
148,141,4063,3.470342111740093
149,246,3469,7.091380801383684
150,192,3469,5.53473623522629
151,80,3619,2.2105554020447635
152,57,3064,1.860313315926893
153,212,3651,5.806628321007943
154,30,2581,1.162340178225494
155,392,4011,9.773123909249563
156,154,3450,4.463768115942028
157,701,4202,16.682532127558307
158,448,3859,11.609225187872505
159,321,3946,8.134820070957932
160,202,3403,5.935938877461064
161,431,4068,10.594886922320551
162,660,4128,15.988372093023257
163,287,3634,7.897633461750138
164,83,2957,2.8068988840040583
165,140,4000,3.5000000000000004
166,136,3640,3.7362637362637363
167,346,3977,8.700025144581343
168,178,3084,5.7717250324254215
169,81,3475,2.3309352517985613
170,205,2839,7.220852412821416
171,488,4527,10.779765849348353
172,171,3268,5.232558139534884
173,12,2709,0.4429678848283499
174,628,3829,16.401149125097938
175,351,3859,9.095620627105468
176,141,2908,4.84869325997249
177,9,2722,0.33063923585598826
178,136,3347,4.063340304750523
179,188,3020,6.225165562913907
180,277,3515,7.8805120910384066
181,401,3758,10.670569451836084
182,289,3580,8.072625698324023
183,52,2971,1.7502524402558062
184,253,3623,6.9831631244824734
185,76,2804,2.710413694721826
186,175,2983,5.866577271203487
187,124,2867,4.325078479246599
188,163,3132,5.20434227330779
189,89,3048,2.91994750656168
190,216,3460,6.242774566473988
191,65,3077,2.1124471888202794
192,321,3866,8.303155716502845
193,292,2929,9.969272789347901
194,245,3316,7.38841978287093
195,595,4683,12.705530642750373
196,182,3174,5.73408947700063
197,334,3606,9.262340543538548
198,378,3882,9.73724884080371
199,231,3550,6.507042253521127
