iteration,total_unmet,total_demand,pct_unmet
115,1421,3541,40.12990680598701
116,2215,4491,49.320863950122465
117,1133,3069,36.91756272401434
118,996,2892,34.439834024896264
119,1300,3437,37.823683444864706
120,2114,4087,51.724981649131394
121,1136,3447,32.95619379170293
122,1248,3467,35.9965387943467
123,1216,3205,37.94071762870515
124,2502,4596,54.438642297650134
125,2004,4128,48.54651162790697
126,1975,4137,47.739908145999514
127,1545,3586,43.08421639709984
128,1278,3329,38.389906878942625
129,2053,4159,49.36282760278913
130,1248,3503,35.626605766485866
131,970,2838,34.178999295278366
132,1127,3214,35.065339141257
133,1083,3410,31.759530791788855
134,930,3349,27.769483427888925
135,1769,4056,43.61439842209073
136,1642,3731,44.009648887697665
137,1026,2881,35.612634501909056
138,1205,3363,35.83110318168302
139,824,2770,29.747292418772563
140,1570,3997,39.27945959469602
141,992,3211,30.893802553721585
142,1190,3186,37.350910232266166
143,952,3006,31.66999334664005
144,1137,3160,35.98101265822785
145,1327,3577,37.098126922001676
146,1455,3562,40.847838293093766
147,1629,3952,41.219635627530366
148,1630,4063,40.11813930593158
149,1308,3469,37.7053906024791
150,1202,3469,34.64975497261459
151,1215,3619,33.57281016855485
152,897,3064,29.27545691906005
153,1518,3651,41.577649958915366
154,663,2581,25.687717938783415
155,1739,4011,43.355771628022936
156,1220,3450,35.36231884057971
157,2091,4202,49.76201808662542
158,1691,3859,43.8196423944027
159,1672,3946,42.37202230106437
160,1416,3403,41.610343814281514
161,1827,4068,44.911504424778755
162,1996,4128,48.35271317829458
163,1454,3634,40.01100715465052
164,578,2957,19.546838011498142
165,1587,4000,39.675
166,1337,3640,36.73076923076923
167,1612,3977,40.53306512446568
168,1054,3084,34.17639429312581
169,1465,3475,42.15827338129496
170,1093,2839,38.4994716449454
171,2155,4527,47.603269273249396
172,1145,3268,35.036719706242344
173,702,2709,25.91362126245847
174,1697,3829,44.31966570906242
175,1613,3859,41.798393366157036
176,920,2908,31.636863823933975
177,639,2722,23.475385745775164
178,1091,3347,32.59635494472662
179,1014,3020,33.57615894039735
180,1276,3515,36.30156472261735
181,1704,3758,45.34326769558275
182,1435,3580,40.08379888268156
183,1003,2971,33.75967687647257
184,1268,3623,34.998619928236266
185,746,2804,26.60485021398003
186,1096,2983,36.74153536708012
187,855,2867,29.822113707708407
188,1063,3132,33.93997445721584
189,964,3048,31.627296587926505
190,1258,3460,36.358381502890175
191,978,3077,31.78420539486513
192,1729,3866,44.72322814278324
193,998,2929,34.07306247866166
194,1277,3316,38.5102533172497
195,2204,4683,47.06384796070895
196,1115,3174,35.1291745431632
197,1392,3606,38.60232945091514
198,1808,3882,46.57393096342092
199,1241,3550,34.95774647887324
