,source_name
199921-8,Gweta Clinic
908115-9,Gunutsoga Health Post
469135-8,Gungwe Health Post
218766-4,Gumare Clinic
846940-5,Gulubane Health Post
943273-3,Hatsalatladi Health Post
634422-0,Gudigwa Health Post
686152-0,Goshwe Health Post
297614-0,Gopong Health Post
123758-5,Gootau Health Post
473400-0,Goosekgweng Health Post
320845-1,Goodhope Primary Hospital
245426-2,Goodhope Clinic
703653-6,Gojwane Health Post
820551-0,Grootlagte Health Post
737491-1,Mmashoro Clinic
977671-7,Hebron Clinic 
582552-6,Hukuntsi Clinic
377230-8,Kachikau Clinic 
899084-8,Kacgae Health Post
918103-3,Julia Molefhe Clinic
814872-8,Jubilee Clinic
155922-8,Joseph Kavindama Hospital
576287-7,Joosub & Aysha Dada Clinic
524549-3,Jackalas 2 Health Post
730690-5,Hereford Clinic 
428747-0,Jackalas 1 Health  Post
770793-8,Itekeng (Area W) Clinic 
785994-5,Industrial Clinic
547193-3,Inalegolo Health Post
951847-3,Ikongwe Health Post
245847-9,Ikoga Health Post
356085-1,Hunhukwe Health Post
215428-4,Hukuntsi Primary Hospital
138941-0,Itholoke Health Post
142959-6,Boseja 1  Clinic
455460-6,Mmathethe Clinic
969643-6,Mmatseta Health Post
992675-9,Sorilatholo Health Post
786771-6,Somelo Health Post
712290-6,Sojwe Clinic
397733-7,Siviya Health  Post
618900-5,Sir Seretse Khama International Airport Clinic
528798-2,Siga Clinic
162118-4,Shoshong Senior Secondary School Clinic
617724-0,Shorobe Clinic
585584-6,Sheleketla Clinic
120761-2,Sheepfarm Health Post
792566-2,Shashe Station Health Post
977333-4,Shashe Mooke Health Post
947726-6,Shashe Health Post
297825-2,Shakwe Health Post
630327-5,Shakawe Senior Secondary School Clinic
766051-7,South East
244471-9,Sowa Clinic
848251-5,St Josephs Mission Clinic
806757-1,Struizendam Health Post
540164-1,Tloaneng Health Post
449269-0,Tlhareseleele Health Post
703810-2,Tlhalogang Health Post
437590-3,Tirelo Motseonageng Clinic
604111-5,Thito Health Post
470942-4,Thini Clinic
274686-5,Themashanga Clinic
257034-9,Shakawe Clinic
680155-9,Thebephatshwa AirBase
188465-9,Thamaga  Main Clinic
305620-7,Thabala Clinic
828915-9,Tawana Clinic
739058-6,Tatitown Clinic
834026-7,Tati Siding Clinic 
463123-0,Tapologong Clinic
484650-7,Takatokwane Clinic
300052-8,Thankane Health Post
991139-7,Tlokweng Main Clinic
267593-2,Shakawe BDF Clinic
396493-9,Sesung Health Post
357636-0,Sekoma Health Post
842218-0,Sekhutlhane Health Post
306812-9,Sekgoma Memorial Hospital
972576-3,Sekakangwe Clinic
632746-4,Sehithwa Clinic
300716-8,Seherelela Health Post
359075-9,Segwagwa Health Post
740183-9,Sefhophe Clinic 
288380-9,Sefhare Primary Hospital 
782149-9,Sedie Clinic
674502-0,Sedibeng Health Post
917324-6,Sechele Health Post
991896-2,Sebina Clinic
478977-2,Sebele Clinic
697341-6,Sebego Clinic
326771-3,Sekondomboro Health Post
214623-1,Selebi Phikwe Government Hospital
643382-5,Selibe Phikwe BDF Clinic
806153-3,Selokolela Health Post
360478-2,Sese Clinic
228068-3,Sesame Clinic
253506-0,Serule Clinic  
658555-8,Serowe Mens Prisons Clinic
597311-0,Serowe Clinic
542046-8,Seronga Clinic
407464-7,Serinane Health Post
799821-4,Shadishadi Health  Post
621771-5,Sepopa Clinic
210542-7,Seolwane Health Post
100051-2,Senyawe Health Post
294483-3,Senete Health Post
674820-6,Semolale Clinic
126097-5,Semitwe Health Post
838744-1,Semboyo Health Post
761470-4,Selolwane Health Post
370657-9,Sepako Health Post
785970-5,Satau Health Post 
878856-4,Tobane Health Post
827088-6,Tonota Clinic
620,Serowe DHMT Warehouse
619,Boteti DHMT Warehouse
618,Okavango DHMT Warehouse
617,Ngami DHMT Warehouse
616,Ghanzi DHMT Warehouse
615,Kgalagadi South DHMT Warehouse
614,Kgalagadi North DHMT Warehouse
613,Kweneng West DHMT Warehouse
612,Southern DHMT Warehouse
611,Good Hope DHMT Warehouse
610,Lobatse DHMT Warehouse
609,Kgatleng DHMT Warehouse
608,Central Medical Stores (CMS)
336494-0,Zwenshambe Health Post
927959-7,Zutshwa Health Post
621,Mahalapye DHMT Warehouse
622,Selebi-Phikwe DHMT Warehouse
623,Bobirwa DHMT Warehouse
624,Francistown DHMT Warehouse
634,Gumare Primary Hospital
633,Lobatse/Athlone District Hospital
632,Thamaga Primary Hospital
631,Molepolole Hospital
630,Sbrana Psychiatric Hospital
629,Palapye DHMT Warehouse
628,Kweneng East DHMT Warehouse
141574-4,Youth Friendly Services
627,Chobe DHMT Warehouse
626,North East DHMT Warehouse
625,Tutume DHMT Warehouse
210240-8,Tobela Clinic
933411-1,Xhumo Clinic
224970-4,Xanagas Health Post
165266-8,Tshimoyapula Health Post
757731-5,Tshimologo Clinic
965830-3,Tshidilamolomo Clinic 
550673-8,Tshesebe Clinic
758986-4,Tshane Health Post
687580-1,Tsetseng Health Post
461911-0,Tsetsebjwe Clinic
762953-8,Tsau Clinic
159292-2,Tsamaya Clinic
783299-1,Tsabong Unified Secondary School
163606-7,Tsabong Primary Hospital
395933-5,Tsabong Clinic 
994083-4,Toteng Health Post
328148-2,Toromoja  Health Post
921369-5,Topisi Health Post 
947346-3,Tshokwe Health Post
803266-6,Tshwaane Health Post
366872-0,Tshwaragano Clinic
484939-4,Xakao Clinic
553731-1,Woodhall Clinic
634692-8,West Hanahai Health Post
409516-2,Werda Clinic 
521057-0,Weighbridge Clinic
141441-6,Vaalhoek Health Post
189831-1,Xere Health  Post
120428-8,Ukhwi Health Post
148454-2,Tutume Primary Hospital 
97580-5,Tutume McConell Clinic
358673-2,Tubu Health Post
375908-1,Tswaanyaneng Health Post
844338-4,Tsopeng Clinic
902553-7,Tsonyane Health Post
180702-3,Tsokatshaa Health Post
79831-4,UB (Main Campus) Clinic
804642-7,Sankoyo Health Post
644488-9,Salajwe Clinic
982657-9,Sakutswane
802310-3,Moselebe Health Post
297961-5,Morwamosu Clinic
503641-3,Morwa  Clinic
899793-4,Moroka Clinic
781688-7,Moreomaoto Health Post
187595-4,Moreomabele Health Post
192441-4,Moremi Health Post
304722-2,Morama Clinic
332304-5,Moralane Heath Post
326326-6,Mopipi Clinic 
428165-5,Mookane Clinic
375911-5,Monwane Health Post
829710-3,Monong Health Post
229763-8,Molepolole Prison
325329-1,Molepolole Council Clinic
822378-6,Mosetse Health Post
840134-1,Moshana Health Post
410982-3,Moshaweng Clinic
613622-0,Moshopha Health Post 
908500-2,Ncaang Health Post
557750-7,Natale Health Post
399472-0,Nata Clinic
585979-8,Mulambakwena Health Post
796866-2,Mowana Health Post
456973-7,Motswedi Clinic
624090-7,Molepolole College of Education
907515-1,Motsentshe Health Post
717471-7,Mothamo CJSS Clinic
317664-1,Mosu Health Post
359199-7,Mosolotshane Health Post
478872-5,Mosojane Health Post
189482-3,Mosi Health Post
808218-2,Moshupa Health Post
561274-2,Moshupa Council Clinic
490856-2,Motopi Clinic
678593-5,Ncojane Clinic
303962-5,Molefi Senior Secondary School Clinic
891412-9,Mokungwane Health Post
373679-0,Mogoditshane Clinic
350353-9,Mogobane Health Post
889476-8,Mogobane Clinic
697110-5,Moeti Clinic
793318-7,Moeng  College Health Post
371326-0,Modipane Health Post
477648-0,Modikwane Health Post (Serowe)
456996-8,Mochudi Prisons Sick Bay Health Post
521011-7,Mochudi 2  Clinic
118883-8,Mochudi 1  Clinic
271111-7,Mmutlane Health Post
571710-3,Mmopane  Health Post
933228-9,Mmokolodi Clinic
454413-6,Mmea Health Post 
823556-6,Mmatshumo Clinic
348593-5,Mogojogojo Health Post
599426-4,Mogome Health Post
188683-7,Mogonono Health Post
965687-7,Mogonye Health Post
682954-3,Mokubilo  Health  Post
657606-0,Mokowana /Mosweu Health Post
659894-0,Mokoswane Health Post
325792-0,Mokoboxane Health  Post
160838-9,Mokobeng Health Post
953200-3,Moko Clinic
420871-6,Mokhomma Health Post
908419-5,Molalatau Health Post
199216-3,Mokgware Health Post
381272-4,Mokgomane Health Post
996429-7,Mokgenene Health Post
965601-8,Mokatako Health Post
299591-8,Moiyabana Clinic
816069-9,Mohembo/Nxomokao Health Post
209107-2,Mogotlho Health Post
523178-2,Mogorosi Health Post
456797-0,Mokgoro Clinic
618772-8,New Xade Clinic
989336-3,New Xanagas/Tsawe Health Post
732845-3,Newtown Clinic
881345-3,Qabo Health Post
